title,review,homepage,discount,original_price,publish_date,image
Lust for Darkness,Mostly Positive<br>71% of the 676 user reviews for this game are positive.,https://store.steampowered.com/app/523650/Lust_for_Darkness/?snr=1_7_7_204_150_4,-42%,¥ 48,"12 Jun, 2018",https://media.st.dl.bscstorage.net/steam/apps/523650/capsule_sm_120.jpg?t=1530090881
Kane & Lynch 2: Dog Days,"Mixed<br>60% of the 2,574 user reviews for this game are positive.",https://store.steampowered.com/app/28000/Kane__Lynch_2_Dog_Days/?snr=1_7_7_204_150_4,-92%,¥ 36,"17 Aug, 2010",https://media.st.dl.bscstorage.net/steam/apps/28000/capsule_sm_120.jpg?t=1478892197
Tomb Raider: Anniversary,"Very Positive<br>83% of the 1,908 user reviews for this game are positive.",https://store.steampowered.com/app/8000/Tomb_Raider_Anniversary/?snr=1_7_7_204_150_4,-91%,¥ 34,"5 Jun, 2007",https://media.st.dl.bscstorage.net/steam/apps/8000/capsule_sm_120.jpg?t=1546279879
Space Battle VR,Mostly Positive<br>72% of the 18 user reviews for this game are positive.,https://store.steampowered.com/app/982700/Space_Battle_VR/?snr=1_7_7_204_150_4,-40%,¥ 70,"14 Dec, 2018",https://media.st.dl.bscstorage.net/steam/apps/982700/capsule_sm_120.jpg?t=1547496671
Supreme Commander,Very Positive<br>86% of the 730 user reviews for this game are positive.,https://store.steampowered.com/app/9350/Supreme_Commander/?snr=1_7_7_204_150_4,-80%,¥ 45,"28 Sep, 2011",https://media.st.dl.bscstorage.net/steam/apps/9350/capsule_sm_120.jpg?t=1525193447
Super Jigsaw Puzzle: Anime,,https://store.steampowered.com/app/972430/Super_Jigsaw_Puzzle_Anime/?snr=1_7_7_204_150_4,-77%,¥ 35,"12 Nov, 2018",https://media.st.dl.bscstorage.net/steam/apps/972430/capsule_sm_120.jpg?t=1542124450
Egypt: Old Kingdom,Very Positive<br>86% of the 280 user reviews for this game are positive.,https://store.steampowered.com/app/646500/Egypt_Old_Kingdom/?snr=1_7_7_204_150_4,-50%,¥ 48,"24 May, 2018",https://media.st.dl.bscstorage.net/steam/apps/646500/capsule_sm_120.jpg?t=1547143255
Supreme Commander Collection,"Very Positive<br>89% of the 7,363 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/7438/Supreme_Commander_Collection/?snr=1_7_7_204_150_4,-85%,¥ 156,,https://media.st.dl.bscstorage.net/steam/bundles/7438/pta3q6d4s79zxma2/capsule_sm_120.jpg?t=1529597742
Indie Pogo,Very Positive<br>83% of the 93 user reviews for this game are positive.,https://store.steampowered.com/app/818210/Indie_Pogo/?snr=1_7_7_204_150_4,-66%,¥ 50,"10 Jul, 2018",https://media.st.dl.bscstorage.net/steam/apps/818210/capsule_sm_120.jpg?t=1540478777
Katy and Bob: Safari Cafe,Positive<br>88% of the 25 user reviews for this game are positive.,https://store.steampowered.com/app/567160/Katy_and_Bob_Safari_Cafe/?snr=1_7_7_204_150_4,-86%,¥ 22,"17 Jun, 2018",https://media.st.dl.bscstorage.net/steam/apps/567160/capsule_sm_120.jpg?t=1529305134
Deus Ex: Game of the Year Edition,"Very Positive<br>94% of the 5,379 user reviews for this game are positive.",https://store.steampowered.com/app/6910/Deus_Ex_Game_of_the_Year_Edition/?snr=1_7_7_204_150_4,-89%,¥ 28,"29 Mar, 2007",https://media.st.dl.bscstorage.net/steam/apps/6910/capsule_sm_120.jpg?t=1478811896
Tomb Raider: Legend,"Very Positive<br>87% of the 1,561 user reviews for this game are positive.",https://store.steampowered.com/app/7000/Tomb_Raider_Legend/?snr=1_7_7_204_150_4,-89%,¥ 28,"29 Mar, 2007",https://media.st.dl.bscstorage.net/steam/apps/7000/capsule_sm_120.jpg?t=1536940798
